n rho12 rho13 rho14 rho23 rho24 rho34
4 0.499510 0.445059 0.721630 0.616940 0.661659 0.412943
5 0.507910 0.447441 0.715178 0.665711 0.656283 0.419388
7 0.537517 0.476363 0.724475 0.747073 0.662229 0.454410
9 0.572712 0.513576 0.746646 0.803254 0.679657 0.494526
11 0.608027 0.551160 0.771644 0.840847 0.700266 0.531748
13 0.641361 0.586648 0.795125 0.866520 0.720859 0.565030
16 0.686205 0.633285 0.825636 0.891838 0.749610 0.608096
20 0.733851 0.681600 0.857473 0.912205 0.781670 0.653814
23 0.760049 0.708132 0.875267 0.922341 0.799698 0.679734
28 0.789939 0.738523 0.896197 0.934051 0.819902 0.710136
33 0.809155 0.757801 0.910023 0.941809 0.832355 0.729830
38 0.822211 0.770552 0.919795 0.947163 0.840551 0.743137
45 0.834149 0.781955 0.929422 0.952174 0.847788 0.755173
52 0.841688 0.789114 0.936024 0.955470 0.852345 0.762879
60 0.847163 0.794329 0.941202 0.958043 0.855913 0.768949
69 0.850703 0.797709 0.944894 0.960003 0.858640 0.773596
79 0.852482 0.799366 0.947127 0.961441 0.860548 0.776773
91 0.852711 0.799359 0.948126 0.962477 0.861641 0.778387
104 0.851565 0.797676 0.948039 0.962995 0.861638 0.778036
119 0.849265 0.794344 0.947113 0.963010 0.860561 0.775785
135 0.846212 0.789770 0.945536 0.962565 0.858707 0.772114
154 0.842203 0.783609 0.943194 0.961703 0.856081 0.766975
174 0.837667 0.776776 0.940338 0.960649 0.853038 0.761374
198 0.831675 0.768269 0.936313 0.959369 0.848854 0.754581
223 0.824556 0.758707 0.931177 0.957990 0.843585 0.746880
252 0.815298 0.746894 0.923855 0.956433 0.836890 0.737838
285 0.804008 0.733189 0.913816 0.954851 0.829468 0.728629
321 0.791508 0.718806 0.901123 0.953436 0.822203 0.720684
362 0.777339 0.703406 0.884925 0.952239 0.814827 0.714039
407 0.761653 0.687328 0.865175 0.951375 0.807486 0.709005
457 0.743281 0.669269 0.840675 0.950695 0.799305 0.704461
513 0.720999 0.647779 0.810113 0.949902 0.789218 0.698817
575 0.695294 0.623680 0.773566 0.948992 0.777424 0.692307
645 0.666481 0.597778 0.731192 0.948084 0.764382 0.685864
723 0.635383 0.571307 0.684665 0.947311 0.750703 0.680137
809 0.602031 0.544302 0.635287 0.946769 0.736239 0.674592
905 0.566737 0.516983 0.584198 0.946566 0.721335 0.669449
1011 0.531733 0.490412 0.534898 0.946519 0.706796 0.664526
1130 0.498456 0.464715 0.490646 0.946681 0.692512 0.659341
1261 0.469442 0.441931 0.456707 0.947227 0.678723 0.653644
1407 0.448733 0.425686 0.437918 0.947870 0.667510 0.648201
1570 0.438516 0.417224 0.437704 0.948487 0.661144 0.643781
1750 0.440532 0.417716 0.457402 0.949059 0.661507 0.641845
