n rho12 rho13 rho14 rho23 rho24 rho34
4 0.316580 0.375947 0.206711 0.057980 0.110315 0.465676
5 0.295495 0.390713 0.214264 0.046641 0.096885 0.530476
7 0.285831 0.425909 0.245083 0.055504 0.104462 0.636116
9 0.301763 0.462351 0.284682 0.092163 0.141455 0.711971
11 0.335163 0.495734 0.325271 0.144722 0.191860 0.765101
13 0.379755 0.525041 0.363345 0.204383 0.246034 0.802842
16 0.453243 0.562900 0.413942 0.293908 0.323161 0.841893
20 0.547499 0.606914 0.471007 0.402542 0.413588 0.874725
23 0.611012 0.634313 0.505743 0.471318 0.470285 0.890523
28 0.690775 0.667572 0.547814 0.552679 0.537676 0.907142
33 0.741664 0.688869 0.574977 0.602049 0.578488 0.917209
38 0.777577 0.702587 0.593037 0.635193 0.605048 0.923999
45 0.811532 0.713139 0.608141 0.664332 0.626982 0.930388
52 0.832556 0.717031 0.615579 0.679375 0.636750 0.934590
60 0.847988 0.716682 0.618517 0.687144 0.639825 0.937815
69 0.858265 0.712917 0.617700 0.688944 0.637743 0.940113
79 0.864764 0.707113 0.614587 0.687004 0.632825 0.941512
91 0.868747 0.700186 0.610274 0.682442 0.626096 0.941955
104 0.871022 0.694303 0.606393 0.677144 0.619462 0.941319
119 0.872901 0.690271 0.603576 0.672204 0.613576 0.939651
135 0.874818 0.688717 0.602282 0.668937 0.609580 0.937252
154 0.876830 0.689351 0.602502 0.667363 0.607445 0.934038
174 0.878203 0.691442 0.603688 0.666961 0.606544 0.930474
198 0.878870 0.694433 0.604656 0.666555 0.604786 0.926056
223 0.878872 0.697669 0.604852 0.666071 0.601582 0.921530
252 0.877980 0.701446 0.604616 0.665358 0.596597 0.916540
285 0.875694 0.705845 0.604150 0.664557 0.590287 0.911187
321 0.871826 0.710575 0.602924 0.664025 0.583139 0.905577
362 0.865659 0.714976 0.599376 0.663446 0.574294 0.899118
407 0.856731 0.718289 0.592440 0.662309 0.563176 0.891295
457 0.844881 0.719813 0.580963 0.659535 0.548316 0.881313
513 0.830139 0.718846 0.564659 0.654752 0.529262 0.868980
575 0.812996 0.715745 0.545345 0.649593 0.508519 0.855044
645 0.792734 0.711306 0.525122 0.644978 0.488480 0.839822
723 0.769182 0.703789 0.504420 0.639444 0.469836 0.823836
809 0.741493 0.690157 0.481673 0.630687 0.451408 0.807626
905 0.709537 0.669162 0.455953 0.617950 0.432306 0.791715
1011 0.675523 0.642019 0.428851 0.603122 0.414753 0.777133
1130 0.640499 0.609439 0.399871 0.587904 0.400457 0.763990
1261 0.607434 0.572571 0.369630 0.574136 0.391032 0.752721
1407 0.577576 0.535048 0.341707 0.563280 0.388037 0.745723
1570 0.550525 0.497744 0.315778 0.555991 0.391058 0.743103
1750 0.528561 0.465457 0.294110 0.554622 0.400693 0.744781
