n rho12 rho13 rho14 rho23 rho24 rho34
4 0.501172 0.587434 0.214611 0.208736 0.284645 0.475776
5 0.534132 0.587842 0.205986 0.213612 0.268988 0.464564
7 0.614745 0.592945 0.221490 0.250456 0.259180 0.472147
9 0.683832 0.605039 0.256980 0.292646 0.271847 0.497573
11 0.731336 0.619659 0.297274 0.325733 0.294634 0.530071
13 0.765914 0.632066 0.336085 0.350575 0.316508 0.565235
16 0.800628 0.645897 0.384321 0.374670 0.341300 0.613623
20 0.827230 0.661713 0.434063 0.394959 0.365884 0.665707
23 0.839899 0.673034 0.464707 0.406941 0.380590 0.697701
28 0.853948 0.689263 0.505858 0.423358 0.399916 0.739736
33 0.863213 0.701894 0.536846 0.437077 0.415707 0.768747
38 0.869922 0.711686 0.560164 0.449476 0.429806 0.787750
45 0.876935 0.722007 0.583641 0.465921 0.447937 0.803164
52 0.882505 0.729991 0.600056 0.482543 0.464750 0.810823
60 0.887849 0.737462 0.612955 0.502007 0.482357 0.813910
69 0.892705 0.743600 0.621421 0.522226 0.498600 0.812838
79 0.896457 0.747031 0.624960 0.539405 0.510547 0.808859
91 0.898602 0.746983 0.624423 0.551085 0.516971 0.803257
104 0.898711 0.744125 0.622091 0.555981 0.518558 0.798112
119 0.897463 0.740479 0.620094 0.558572 0.519282 0.793523
135 0.895524 0.737188 0.618473 0.560762 0.520152 0.789009
154 0.892466 0.733115 0.615149 0.561021 0.518929 0.782874
174 0.888394 0.728224 0.609648 0.558120 0.514717 0.775135
198 0.883003 0.721723 0.601627 0.551425 0.507455 0.764856
223 0.877356 0.714028 0.592892 0.541769 0.498836 0.753735
252 0.871583 0.704269 0.583559 0.529605 0.489676 0.741021
285 0.866312 0.693126 0.574761 0.516800 0.481588 0.727296
321 0.861995 0.681489 0.566282 0.505154 0.474909 0.712944
362 0.858489 0.669306 0.557279 0.495572 0.468808 0.696829
407 0.856191 0.657782 0.549729 0.490158 0.465134 0.679335
457 0.855455 0.649195 0.546468 0.491125 0.466263 0.661690
513 0.856363 0.643719 0.546936 0.498402 0.472610 0.645041
575 0.858508 0.640214 0.549673 0.510235 0.483064 0.629698
645 0.860954 0.638761 0.551936 0.525010 0.493187 0.615022
723 0.862521 0.638029 0.553420 0.539775 0.500781 0.601397
809 0.863327 0.636126 0.553824 0.552189 0.506754 0.587073
905 0.863015 0.631454 0.550557 0.560271 0.509957 0.568619
1011 0.861177 0.624345 0.544966 0.563168 0.511435 0.546991
1130 0.857805 0.614449 0.538454 0.561617 0.512297 0.523219
1261 0.853116 0.600880 0.530206 0.555334 0.511211 0.497279
1407 0.846632 0.582446 0.517395 0.542027 0.505648 0.467087
1570 0.838032 0.559396 0.498370 0.520826 0.492467 0.430851
1750 0.826764 0.533142 0.473930 0.493786 0.473967 0.392158
