n rho12 rho13 rho14 rho23 rho24 rho34
4 0.688114 0.621213 0.426712 0.433581 0.403014 0.604844
5 0.709469 0.618668 0.410670 0.429824 0.383652 0.597579
7 0.744839 0.612240 0.384852 0.423468 0.352215 0.589723
9 0.770685 0.605009 0.365153 0.415751 0.327526 0.583668
11 0.788083 0.598553 0.352200 0.408090 0.310352 0.578645
13 0.799172 0.593680 0.346378 0.401884 0.300992 0.574927
16 0.808543 0.588837 0.348402 0.395306 0.298442 0.570702
20 0.813940 0.584288 0.363867 0.389381 0.308285 0.565581
23 0.815711 0.580637 0.380352 0.385986 0.320651 0.561782
28 0.818059 0.573077 0.407966 0.382224 0.342168 0.556351
33 0.821272 0.564983 0.427749 0.381114 0.357708 0.551235
38 0.824773 0.558534 0.439028 0.382966 0.367248 0.544225
45 0.828297 0.552998 0.447516 0.388579 0.375899 0.532602
52 0.829823 0.549427 0.452314 0.394365 0.381615 0.522168
60 0.829746 0.546020 0.454461 0.399252 0.385086 0.511168
69 0.827941 0.541405 0.453968 0.401612 0.386060 0.499653
79 0.824490 0.534631 0.451697 0.400847 0.385393 0.487492
91 0.819156 0.525107 0.447623 0.397246 0.383923 0.473270
104 0.812870 0.514333 0.442763 0.391910 0.382857 0.458352
119 0.806217 0.501954 0.437059 0.385286 0.382667 0.442107
135 0.800431 0.488985 0.431091 0.378389 0.383467 0.426163
154 0.795309 0.473926 0.424247 0.370449 0.385070 0.408762
174 0.791162 0.458448 0.416548 0.361570 0.386259 0.391476
198 0.786300 0.441146 0.406239 0.349850 0.386152 0.372770
223 0.779698 0.425382 0.394710 0.336670 0.383539 0.356028
252 0.769247 0.410185 0.380726 0.320482 0.376200 0.339249
285 0.754770 0.396213 0.364603 0.301146 0.362262 0.321952
321 0.738265 0.382866 0.347283 0.279427 0.342461 0.305367
362 0.720441 0.367200 0.327923 0.253526 0.316538 0.288628
407 0.702331 0.349042 0.307999 0.224630 0.286803 0.271778
457 0.683192 0.329108 0.289057 0.194218 0.254927 0.253881
513 0.663011 0.309304 0.273666 0.164964 0.223657 0.235085
575 0.641602 0.291010 0.263021 0.137699 0.195153 0.216630
645 0.618400 0.274332 0.257090 0.111895 0.169806 0.198961
723 0.593235 0.258096 0.256025 0.087375 0.148105 0.182803
809 0.565737 0.241172 0.260103 0.064050 0.129251 0.168736
905 0.535470 0.222732 0.267965 0.041151 0.112816 0.155531
1011 0.501772 0.203302 0.277178 0.015735 0.099011 0.141545
1130 0.467182 0.185569 0.287352 -0.011897 0.085947 0.129840
1261 0.437721 0.173106 0.295477 -0.036974 0.072798 0.124425
1407 0.416196 0.167784 0.297482 -0.057929 0.061028 0.124432
1570 0.402009 0.171867 0.292293 -0.073358 0.054101 0.126414
1750 0.393370 0.185300 0.278454 -0.082309 0.051942 0.126719
