n rho12 rho13 rho14 rho23 rho24 rho34
4 0.762842 0.770908 0.628686 0.620767 0.563794 0.848069
5 0.773220 0.774804 0.632607 0.614651 0.555102 0.851278
7 0.787611 0.778635 0.636472 0.601890 0.540007 0.854402
9 0.798987 0.781006 0.639679 0.591001 0.529245 0.856531
11 0.809131 0.782405 0.644039 0.582094 0.522164 0.860069
13 0.818528 0.782208 0.648584 0.574404 0.517285 0.864769
16 0.831693 0.778615 0.654327 0.564293 0.512375 0.872775
20 0.848173 0.769941 0.660098 0.553909 0.509343 0.883793
23 0.859635 0.762416 0.662765 0.548629 0.508689 0.891186
28 0.876783 0.751710 0.665371 0.544870 0.510207 0.900294
33 0.891023 0.744818 0.667412 0.546071 0.514254 0.906018
38 0.902465 0.740015 0.668144 0.549825 0.519069 0.909718
45 0.915068 0.735006 0.666988 0.557811 0.526958 0.912137
52 0.924381 0.732497 0.665516 0.567541 0.535699 0.912190
60 0.931570 0.732062 0.664617 0.577949 0.544438 0.911239
69 0.936407 0.733200 0.664399 0.587098 0.551439 0.909953
79 0.939255 0.735330 0.664909 0.594372 0.556527 0.908673
91 0.940841 0.738394 0.666545 0.601208 0.561599 0.907052
104 0.941268 0.741751 0.669125 0.607237 0.566808 0.905046
119 0.940686 0.744968 0.672264 0.612337 0.572063 0.902607
135 0.939275 0.747172 0.674751 0.615947 0.576618 0.899599
154 0.936842 0.747893 0.675600 0.617830 0.579877 0.895328
174 0.933569 0.746418 0.674035 0.616790 0.580423 0.890421
198 0.928840 0.742054 0.669408 0.611785 0.577610 0.884220
223 0.923134 0.735118 0.661865 0.602978 0.571212 0.877491
252 0.915676 0.724578 0.649740 0.589223 0.559871 0.869241
285 0.906289 0.709624 0.631423 0.569976 0.542152 0.859114
321 0.895177 0.690448 0.606888 0.545900 0.518006 0.847569
362 0.881629 0.666423 0.575586 0.516227 0.486674 0.834558
407 0.865828 0.638795 0.539458 0.482598 0.450087 0.821034
457 0.847388 0.608005 0.499630 0.445365 0.409179 0.807360
513 0.826287 0.574703 0.457996 0.405416 0.365666 0.794229
575 0.803439 0.540160 0.417916 0.364611 0.322832 0.782593
645 0.779079 0.504258 0.380880 0.323135 0.282024 0.773090
723 0.753225 0.467893 0.348091 0.281760 0.244043 0.766410
809 0.725559 0.430823 0.318520 0.240007 0.207372 0.762455
905 0.697215 0.394275 0.292902 0.199387 0.172936 0.761032
1011 0.670307 0.361537 0.274109 0.162925 0.144559 0.761268
1130 0.647518 0.334998 0.261213 0.133546 0.122859 0.761863
1261 0.630621 0.316316 0.253566 0.112831 0.107034 0.761958
1407 0.618662 0.306043 0.254186 0.100616 0.098294 0.761664
1570 0.603550 0.304613 0.263528 0.093649 0.092273 0.761423
1750 0.583512 0.308047 0.280332 0.087059 0.086496 0.761380
