n rho12 rho13 rho14 rho23 rho24 rho34
4 0.639790 0.629335 0.369782 0.486354 0.394626 0.662593
5 0.648777 0.636709 0.364994 0.480140 0.381825 0.645263
7 0.666657 0.650715 0.372861 0.482297 0.381040 0.636978
9 0.683382 0.664695 0.397182 0.494293 0.400793 0.649855
11 0.697286 0.677896 0.427915 0.508596 0.427316 0.671315
13 0.708383 0.689485 0.458298 0.521976 0.452771 0.694556
16 0.721146 0.703983 0.498577 0.538949 0.484313 0.727781
20 0.733550 0.719233 0.543470 0.556896 0.517083 0.767574
23 0.740383 0.727763 0.570024 0.567145 0.535726 0.792328
28 0.748266 0.737660 0.600695 0.579565 0.556573 0.821995
33 0.753092 0.744615 0.620682 0.588985 0.570212 0.841448
38 0.755862 0.749990 0.635003 0.596910 0.580564 0.855363
45 0.757427 0.755307 0.648608 0.605474 0.591009 0.868921
52 0.757053 0.758637 0.656976 0.610804 0.597314 0.877697
60 0.754844 0.761159 0.662766 0.613599 0.600987 0.884007
69 0.750734 0.763147 0.666562 0.613885 0.602576 0.888011
79 0.745125 0.764620 0.668877 0.612332 0.602859 0.890085
91 0.737862 0.765664 0.670197 0.609297 0.602222 0.890583
104 0.729945 0.766534 0.671016 0.605544 0.601040 0.889732
119 0.721067 0.767721 0.672102 0.601325 0.599618 0.887797
135 0.712006 0.768991 0.673425 0.596701 0.597768 0.885093
154 0.701919 0.770127 0.674688 0.590692 0.594637 0.881188
174 0.692204 0.770695 0.675158 0.583792 0.590181 0.876333
198 0.682051 0.770172 0.674246 0.574985 0.583549 0.869639
223 0.672941 0.767831 0.671652 0.565130 0.575299 0.861753
252 0.663263 0.762981 0.666826 0.552831 0.564063 0.851228
285 0.652241 0.755646 0.659909 0.538266 0.549351 0.837539
321 0.639356 0.746107 0.651339 0.521809 0.530896 0.821083
362 0.623202 0.733766 0.640599 0.502330 0.507352 0.800837
407 0.604035 0.718461 0.627431 0.480808 0.479271 0.777092
457 0.582549 0.699479 0.611377 0.457870 0.446394 0.749395
513 0.559743 0.675841 0.591411 0.434572 0.408945 0.717238
575 0.537184 0.647036 0.567485 0.412926 0.369354 0.681143
645 0.514532 0.611416 0.538070 0.393640 0.328784 0.640141
723 0.494970 0.570466 0.504396 0.379127 0.290331 0.596340
809 0.481722 0.528624 0.469444 0.372306 0.257632 0.554018
905 0.474997 0.489225 0.434004 0.374829 0.232669 0.514629
1011 0.475806 0.452945 0.399472 0.385950 0.218358 0.479329
1130 0.484018 0.420550 0.368496 0.401899 0.214517 0.450029
1261 0.498288 0.396800 0.345782 0.418780 0.219483 0.429024
1407 0.518642 0.381689 0.334017 0.433714 0.231078 0.414669
1570 0.543331 0.372044 0.331336 0.445088 0.247521 0.405708
