n rho12 rho13 rho14 rho23 rho24 rho34
4 0.745728 0.770506 0.882049 0.874059 0.823383 0.775523
5 0.771332 0.794835 0.904272 0.886663 0.838974 0.799277
7 0.805785 0.825487 0.931523 0.908670 0.860400 0.831833
9 0.826707 0.843096 0.946605 0.924894 0.873667 0.851734
11 0.839728 0.853875 0.955493 0.936705 0.882036 0.864339
13 0.848296 0.860948 0.961137 0.945618 0.887669 0.872921
16 0.856341 0.867492 0.966486 0.955389 0.893205 0.881529
20 0.861501 0.871486 0.970720 0.963908 0.897119 0.888200
23 0.862580 0.872084 0.972749 0.968056 0.898218 0.890796
28 0.860824 0.869956 0.974875 0.972452 0.897566 0.891932
33 0.855799 0.864863 0.975938 0.974972 0.894520 0.890018
38 0.848359 0.857512 0.976237 0.976352 0.889639 0.885769
45 0.835731 0.845057 0.975780 0.977162 0.881008 0.877330
52 0.823288 0.832661 0.974829 0.977298 0.872192 0.868119
60 0.812152 0.821353 0.973708 0.977165 0.863874 0.859002
69 0.804290 0.813025 0.972647 0.976988 0.857398 0.851498
79 0.799243 0.807220 0.971556 0.976734 0.852516 0.845394
91 0.794829 0.801800 0.970028 0.976156 0.847657 0.838938
104 0.790758 0.796750 0.968050 0.975240 0.842874 0.832452
119 0.787626 0.792748 0.965591 0.974037 0.838612 0.826549
135 0.786735 0.791213 0.963002 0.972921 0.836286 0.822993
154 0.789422 0.793395 0.960275 0.972162 0.837000 0.822943
174 0.795606 0.799192 0.957948 0.971989 0.840882 0.826607
198 0.804918 0.808276 0.955911 0.972222 0.847392 0.833451
223 0.814586 0.818048 0.954790 0.972587 0.854704 0.841578
252 0.824475 0.828536 0.954375 0.972908 0.862754 0.851013
285 0.833459 0.838752 0.954223 0.972975 0.870434 0.860777
321 0.840582 0.847685 0.953785 0.972685 0.876740 0.869722
362 0.845849 0.855149 0.952747 0.972016 0.881632 0.877551
407 0.849172 0.860442 0.951090 0.971027 0.884863 0.883373
457 0.851023 0.864007 0.948768 0.969719 0.886660 0.887205
513 0.852091 0.866379 0.945796 0.968233 0.887544 0.889301
575 0.853424 0.868175 0.942401 0.966853 0.888578 0.890409
645 0.855814 0.869987 0.938898 0.965641 0.890393 0.891242
723 0.859533 0.872017 0.935636 0.964688 0.893054 0.892000
809 0.864137 0.873995 0.932979 0.963980 0.895996 0.892435
905 0.869289 0.875876 0.930935 0.963417 0.899171 0.892784
1011 0.875009 0.877848 0.929844 0.962962 0.902587 0.893160
1130 0.881553 0.880439 0.929861 0.962503 0.906420 0.894306
1261 0.888609 0.884042 0.930678 0.962143 0.910569 0.896433
1407 0.895014 0.887743 0.932151 0.961925 0.914447 0.899058
1570 0.899578 0.890143 0.934127 0.961677 0.917397 0.901202
1750 0.901524 0.890472 0.935792 0.961084 0.918455 0.901789
