n rho12 rho13 rho14 rho23 rho24 rho34
4 0.511594 0.640568 0.732614 0.762356 0.700845 0.737335
5 0.507144 0.635759 0.730195 0.776330 0.729265 0.742545
7 0.493418 0.629958 0.727636 0.787563 0.754517 0.747293
9 0.482501 0.628947 0.729346 0.790428 0.761871 0.749701
11 0.478538 0.632664 0.735074 0.791635 0.763457 0.751838
13 0.482345 0.641331 0.744277 0.793851 0.763833 0.755168
16 0.501209 0.662782 0.763138 0.800889 0.766286 0.763501
20 0.543001 0.700732 0.793409 0.816212 0.775228 0.778210
23 0.578637 0.729287 0.816050 0.829944 0.784866 0.789065
28 0.632436 0.767009 0.847524 0.852707 0.802062 0.804192
33 0.675180 0.793256 0.870863 0.871979 0.818161 0.817247
38 0.709699 0.814173 0.889238 0.886621 0.832538 0.829612
45 0.746478 0.837224 0.909042 0.900816 0.848736 0.844402
52 0.772356 0.853291 0.922881 0.910590 0.861013 0.855869
60 0.794121 0.866618 0.933989 0.918697 0.872052 0.866149
69 0.812002 0.877461 0.942671 0.925266 0.881613 0.875014
79 0.826970 0.886489 0.949363 0.930590 0.889963 0.882579
91 0.840758 0.894863 0.954957 0.935231 0.897858 0.889591
104 0.852369 0.902124 0.959282 0.938891 0.904567 0.895605
119 0.862823 0.908963 0.962978 0.942028 0.910604 0.901286
135 0.871434 0.914845 0.966034 0.944647 0.915543 0.906352
154 0.879209 0.920281 0.969003 0.947332 0.919925 0.911468
174 0.885402 0.924560 0.971640 0.949786 0.923304 0.915939
198 0.890892 0.928279 0.974255 0.952092 0.926175 0.920199
223 0.894813 0.930893 0.976359 0.953799 0.928101 0.923507
252 0.897529 0.932668 0.978103 0.954986 0.929297 0.926093
285 0.898903 0.933503 0.979385 0.955447 0.929722 0.927750
321 0.899071 0.933443 0.980221 0.955134 0.929464 0.928472
362 0.898231 0.932571 0.980703 0.954124 0.928606 0.928421
407 0.896279 0.930874 0.980748 0.952500 0.927098 0.927628
457 0.892608 0.928114 0.980241 0.950058 0.924575 0.925929
513 0.886413 0.923914 0.979098 0.946530 0.920551 0.923100
575 0.877272 0.917946 0.977317 0.941861 0.914777 0.918974
645 0.865474 0.910480 0.975036 0.936070 0.907455 0.913818
723 0.852482 0.902367 0.972480 0.929525 0.899350 0.907965
809 0.839880 0.894803 0.969848 0.922634 0.891234 0.902001
905 0.829609 0.889447 0.967471 0.916181 0.884085 0.897014
1011 0.823031 0.886921 0.965568 0.910745 0.878628 0.893590
1130 0.819898 0.886631 0.964161 0.906173 0.874518 0.891509
1261 0.819337 0.887828 0.963229 0.902812 0.871420 0.890848
1407 0.822202 0.890589 0.962972 0.901325 0.870129 0.891604
1570 0.825905 0.893069 0.962984 0.900777 0.869262 0.892255
