n rho12 rho13 rho14 rho23 rho24 rho34
4 0.804383 0.640014 0.374530 0.488622 0.374242 0.494927
5 0.798302 0.642033 0.380304 0.499857 0.385812 0.530814
7 0.794047 0.644995 0.400218 0.514468 0.409276 0.599798
9 0.798540 0.649889 0.425881 0.528535 0.434744 0.664830
11 0.808779 0.655257 0.451730 0.544046 0.460767 0.720809
13 0.821958 0.660588 0.475534 0.560920 0.486234 0.764989
16 0.841964 0.668863 0.507048 0.585843 0.521553 0.813371
20 0.863490 0.680389 0.541857 0.613711 0.560757 0.855185
23 0.875208 0.688442 0.562948 0.629311 0.583698 0.875352
28 0.888622 0.698915 0.589575 0.645949 0.611189 0.896109
33 0.896912 0.705860 0.608402 0.654358 0.629145 0.907617
38 0.901718 0.710228 0.621945 0.657688 0.641208 0.913861
45 0.904864 0.713469 0.635325 0.656924 0.652238 0.917226
52 0.905220 0.713916 0.644115 0.651548 0.658650 0.916731
60 0.903362 0.711230 0.649521 0.641050 0.661575 0.913268
69 0.899685 0.705316 0.651405 0.625946 0.661109 0.907286
79 0.894976 0.697267 0.650633 0.608190 0.658345 0.899542
91 0.889556 0.687839 0.648239 0.588610 0.654407 0.890095
104 0.884412 0.679289 0.645672 0.571148 0.650850 0.880569
119 0.879466 0.671956 0.643745 0.556340 0.648254 0.871255
135 0.875612 0.667372 0.643236 0.547423 0.647390 0.863883
154 0.873158 0.665831 0.643703 0.545821 0.648333 0.858267
174 0.872403 0.667501 0.644392 0.552904 0.651045 0.855476
198 0.872901 0.670989 0.644111 0.568118 0.655197 0.854461
223 0.874044 0.673867 0.642272 0.585162 0.658879 0.853597
252 0.874422 0.674320 0.638516 0.599304 0.660789 0.850481
285 0.872408 0.671049 0.632189 0.605275 0.659176 0.843459
321 0.867602 0.664162 0.622839 0.602957 0.653456 0.833090
362 0.860457 0.654900 0.610205 0.597040 0.644739 0.819914
407 0.851798 0.644816 0.595521 0.590030 0.634753 0.804032
457 0.841830 0.634624 0.580253 0.581500 0.624752 0.784797
513 0.831502 0.626313 0.565982 0.573798 0.616483 0.763095
575 0.822201 0.620926 0.553430 0.570166 0.611603 0.740534
645 0.814658 0.617913 0.544081 0.570906 0.611421 0.718348
723 0.808385 0.614593 0.533934 0.575621 0.614040 0.697702
809 0.801100 0.604864 0.514435 0.578866 0.613874 0.676224
905 0.792497 0.587445 0.484399 0.579808 0.610368 0.652339
1011 0.782438 0.562156 0.446086 0.577512 0.603875 0.626354
1130 0.770411 0.531122 0.403969 0.573401 0.596639 0.599894
1261 0.756895 0.496904 0.361489 0.569402 0.591999 0.575139
1407 0.741711 0.460343 0.319778 0.563162 0.588171 0.554567
1570 0.725206 0.426429 0.282718 0.555279 0.584267 0.545098
