n rho12 rho13 rho14 rho23 rho24 rho34
4 0.646208 0.572210 0.219402 0.422516 0.182303 0.161778
5 0.655572 0.593965 0.243653 0.444273 0.211239 0.213773
7 0.675809 0.627478 0.293521 0.475714 0.271182 0.322071
9 0.689439 0.647285 0.337600 0.491622 0.322430 0.422523
11 0.698366 0.656153 0.370493 0.497598 0.359665 0.504024
13 0.705702 0.659100 0.394198 0.499873 0.386554 0.566474
16 0.716112 0.659834 0.420897 0.503432 0.416984 0.635891
20 0.729061 0.660111 0.447582 0.510809 0.446657 0.698232
23 0.736708 0.660426 0.462467 0.516346 0.462698 0.729823
28 0.745642 0.660714 0.480292 0.523604 0.480930 0.764871
33 0.752181 0.660713 0.492916 0.529242 0.492614 0.786578
38 0.757235 0.660015 0.501759 0.533165 0.499716 0.800239
45 0.761626 0.657130 0.509093 0.535155 0.503741 0.810899
52 0.763493 0.652054 0.511548 0.533797 0.502869 0.815237
60 0.763313 0.644547 0.509635 0.529520 0.497868 0.815341
69 0.760909 0.635269 0.503273 0.522583 0.488825 0.811689
79 0.756579 0.625325 0.493617 0.513884 0.476624 0.805073
91 0.750821 0.615139 0.481625 0.504079 0.461754 0.795616
104 0.745308 0.606958 0.470203 0.495906 0.447461 0.785034
119 0.740742 0.601285 0.460084 0.490186 0.434135 0.773540
135 0.737662 0.598843 0.452791 0.487349 0.423113 0.762618
154 0.735257 0.598640 0.447676 0.486014 0.413189 0.751332
174 0.733734 0.599993 0.445491 0.485533 0.405947 0.741205
198 0.733527 0.602715 0.445834 0.485508 0.400689 0.731322
223 0.735033 0.606243 0.447815 0.485744 0.397742 0.723247
252 0.738175 0.611107 0.451195 0.486251 0.396324 0.716069
285 0.742303 0.617153 0.456122 0.486810 0.396531 0.710296
321 0.746464 0.623571 0.462488 0.487246 0.398578 0.706556
362 0.749990 0.630488 0.470208 0.488068 0.402385 0.704283
407 0.752112 0.637487 0.478886 0.489868 0.407702 0.703548
457 0.753101 0.643983 0.488405 0.493108 0.414868 0.704568
513 0.753281 0.650423 0.499127 0.498246 0.424139 0.707439
575 0.752827 0.656971 0.511720 0.504763 0.435558 0.712184
645 0.751330 0.663133 0.526308 0.511469 0.448664 0.718454
723 0.747110 0.668486 0.541773 0.516391 0.461347 0.725763
809 0.737963 0.674208 0.556673 0.519145 0.471444 0.733911
905 0.728472 0.682827 0.574491 0.523958 0.483057 0.743781
1011 0.722731 0.693111 0.594196 0.530604 0.495803 0.754102
1130 0.722327 0.702968 0.613347 0.537446 0.507333 0.764199
1261 0.727130 0.710615 0.629332 0.542576 0.515009 0.772871
1407 0.735859 0.715566 0.641160 0.544506 0.518122 0.778752
1570 0.746902 0.717305 0.647350 0.543470 0.517141 0.780664
1750 0.758594 0.713606 0.644481 0.540036 0.511798 0.777853
