n rho12 rho13 rho14 rho23 rho24 rho34
4 0.834216 0.621665 0.518563 0.441541 0.431057 0.818450
5 0.863968 0.624282 0.529556 0.446682 0.439108 0.827039
7 0.899445 0.626547 0.543830 0.454686 0.451267 0.839741
9 0.919373 0.629277 0.555863 0.463710 0.463698 0.849567
11 0.931847 0.634379 0.569259 0.475139 0.478386 0.858376
13 0.940346 0.641983 0.584693 0.488888 0.495305 0.866840
16 0.949267 0.657075 0.610754 0.512874 0.523632 0.879272
20 0.957473 0.680253 0.646519 0.547153 0.562495 0.894779
23 0.961968 0.696865 0.670645 0.571362 0.589125 0.904675
28 0.967400 0.719740 0.702597 0.605368 0.625505 0.917263
33 0.971116 0.737180 0.726193 0.632053 0.653356 0.926418
38 0.973731 0.751083 0.744632 0.653600 0.675623 0.933476
45 0.976172 0.766226 0.764269 0.677334 0.700060 0.940524
52 0.977662 0.777491 0.778312 0.695212 0.718338 0.944997
60 0.978628 0.786452 0.789025 0.709716 0.733021 0.947973
69 0.979116 0.792337 0.795637 0.719728 0.742868 0.949627
79 0.979184 0.795113 0.798105 0.725024 0.747483 0.950189
91 0.978868 0.795450 0.796886 0.726432 0.747299 0.949814
104 0.978241 0.794113 0.792883 0.724773 0.743157 0.948557
119 0.977297 0.791534 0.786568 0.720608 0.735622 0.946311
135 0.976136 0.787848 0.778567 0.714415 0.725594 0.943262
154 0.974634 0.782449 0.768035 0.705603 0.712251 0.939170
174 0.972927 0.776165 0.756531 0.695603 0.697700 0.934663
198 0.970561 0.767279 0.741932 0.681923 0.679300 0.929161
223 0.967575 0.756078 0.725602 0.664895 0.658471 0.923515
252 0.963345 0.741676 0.706125 0.642491 0.632829 0.917381
285 0.957467 0.725518 0.685006 0.615771 0.603525 0.911172
321 0.949932 0.710319 0.665012 0.587830 0.573701 0.905343
362 0.940582 0.697497 0.647571 0.560285 0.545009 0.899849
407 0.930255 0.688187 0.634345 0.536095 0.520595 0.894955
457 0.919217 0.682021 0.624708 0.516166 0.500797 0.890413
513 0.907372 0.678921 0.618712 0.501367 0.486506 0.886189
575 0.894967 0.676513 0.614820 0.489360 0.476571 0.882362
645 0.882220 0.673605 0.611470 0.479040 0.469877 0.878973
723 0.869337 0.670277 0.607417 0.470398 0.465113 0.875680
809 0.856128 0.665725 0.600750 0.461648 0.459402 0.871793
905 0.841968 0.659614 0.590159 0.452437 0.451577 0.866739
1011 0.827096 0.652871 0.576553 0.445285 0.443323 0.860502
1130 0.810986 0.645341 0.561202 0.439350 0.434906 0.852852
1261 0.794581 0.639006 0.546579 0.435508 0.426893 0.844335
1407 0.777555 0.633603 0.531697 0.431917 0.417084 0.834603
1570 0.760641 0.627544 0.515073 0.424908 0.401938 0.823721
1750 0.745915 0.621869 0.499035 0.414445 0.381778 0.813342
