n rho12 rho13 rho14 rho23 rho24 rho34
4 0.223910 0.209029 0.844647 0.680154 0.365884 0.254892
5 0.202715 0.190044 0.857165 0.686026 0.351043 0.244396
7 0.183173 0.174600 0.877814 0.699986 0.338068 0.239213
9 0.181487 0.175821 0.892500 0.712820 0.337805 0.245253
11 0.191825 0.187425 0.902080 0.723287 0.345815 0.257685
13 0.212503 0.207791 0.908130 0.731900 0.361265 0.275833
16 0.258861 0.251685 0.913703 0.743038 0.396932 0.313100
20 0.330688 0.320047 0.918595 0.757006 0.455900 0.372287
23 0.374550 0.363391 0.921608 0.767032 0.494043 0.411600
28 0.421313 0.409799 0.926210 0.781583 0.536194 0.455850
33 0.454196 0.438489 0.930470 0.793960 0.566241 0.484318
38 0.476857 0.457176 0.934402 0.804189 0.587104 0.504269
45 0.496419 0.470846 0.939454 0.815787 0.604819 0.521231
52 0.509087 0.476277 0.943829 0.824669 0.615537 0.530132
60 0.518144 0.476684 0.947771 0.832006 0.622531 0.534286
69 0.524488 0.473828 0.950895 0.837517 0.627246 0.535369
79 0.529342 0.470095 0.953076 0.841353 0.631227 0.535854
91 0.534411 0.467417 0.954509 0.843992 0.635887 0.537888
104 0.540385 0.467436 0.955167 0.845477 0.641545 0.542416
119 0.547794 0.470077 0.955237 0.845999 0.648406 0.549440
135 0.555597 0.474504 0.954863 0.845277 0.655335 0.557618
154 0.563961 0.480516 0.954053 0.842871 0.662295 0.566892
174 0.570887 0.486459 0.952757 0.838848 0.667603 0.575130
198 0.577136 0.492867 0.950640 0.832729 0.671991 0.583235
223 0.581985 0.498795 0.947992 0.825339 0.674860 0.589910
252 0.585670 0.504567 0.944596 0.815761 0.676192 0.595626
285 0.588422 0.510703 0.940617 0.803875 0.676008 0.600731
321 0.592067 0.519659 0.936356 0.790301 0.675555 0.607044
362 0.596517 0.531365 0.931604 0.774581 0.674438 0.614299
407 0.599930 0.543145 0.926382 0.757336 0.671313 0.620113
457 0.601156 0.552670 0.920403 0.738053 0.665080 0.622081
513 0.600418 0.558778 0.913453 0.716385 0.655827 0.619022
575 0.598640 0.561709 0.905543 0.692331 0.644654 0.611181
645 0.595284 0.561360 0.896266 0.664384 0.631346 0.597726
723 0.589035 0.556929 0.885477 0.632062 0.615242 0.577520
809 0.578674 0.547525 0.873247 0.596915 0.595555 0.549462
905 0.564146 0.532631 0.859387 0.560139 0.572232 0.512596
1011 0.546002 0.513716 0.844264 0.522772 0.545970 0.468176
1130 0.524381 0.491258 0.827485 0.486005 0.517100 0.416404
1261 0.500758 0.467640 0.809377 0.453936 0.487819 0.361692
1407 0.477183 0.448409 0.791506 0.430198 0.459276 0.310041
1570 0.456973 0.439145 0.776174 0.417105 0.432959 0.267666
1750 0.442166 0.442224 0.765474 0.413860 0.410448 0.240170
