n rho12 rho13 rho14 rho23 rho24 rho34
4 0.532257 0.484514 0.806361 0.904668 0.607372 0.485804
5 0.545619 0.495325 0.809314 0.924815 0.611122 0.492275
7 0.568568 0.515611 0.821433 0.948619 0.619611 0.507593
9 0.591414 0.538084 0.837360 0.961779 0.632512 0.527455
11 0.615322 0.562956 0.854202 0.969487 0.648658 0.550132
13 0.639972 0.588987 0.870229 0.974290 0.666353 0.573696
16 0.676484 0.627501 0.891349 0.978775 0.693620 0.608227
20 0.719436 0.672529 0.912806 0.982190 0.727170 0.648448
23 0.745343 0.699572 0.923780 0.983713 0.748148 0.672660
28 0.778015 0.733555 0.935556 0.985191 0.775634 0.703467
33 0.801175 0.757430 0.943075 0.985917 0.795707 0.725237
38 0.817632 0.774074 0.948268 0.986212 0.809978 0.740116
45 0.832643 0.788769 0.953079 0.986204 0.822713 0.752566
52 0.841326 0.796788 0.956159 0.985938 0.829800 0.758661
60 0.846444 0.800959 0.958444 0.985511 0.833860 0.761254
69 0.848774 0.802161 0.960100 0.985005 0.835771 0.761466
79 0.849239 0.801379 0.961241 0.984471 0.836321 0.760225
91 0.848277 0.798968 0.961929 0.983875 0.835763 0.757637
104 0.846034 0.795256 0.962066 0.983272 0.834115 0.753932
119 0.842641 0.790339 0.961629 0.982590 0.831712 0.749314
135 0.838540 0.784685 0.960672 0.981821 0.828880 0.744127
154 0.833775 0.778094 0.959092 0.980835 0.825593 0.737963
174 0.828931 0.771357 0.957040 0.979712 0.822200 0.731434
198 0.823062 0.763319 0.954156 0.978297 0.817941 0.723345
223 0.816510 0.754800 0.950760 0.976852 0.812967 0.714563
252 0.808304 0.744830 0.946460 0.975312 0.806554 0.704207
285 0.798520 0.733562 0.941261 0.973717 0.798846 0.692516
321 0.787653 0.721455 0.935319 0.972071 0.790381 0.680073
362 0.775065 0.707581 0.928233 0.970122 0.780555 0.665808
407 0.761089 0.691970 0.920409 0.967771 0.769644 0.649800
457 0.745640 0.674071 0.912296 0.964880 0.757491 0.631482
513 0.729720 0.655118 0.903782 0.961406 0.744751 0.611535
575 0.713024 0.635097 0.894288 0.957297 0.732217 0.590891
645 0.694205 0.612927 0.882886 0.952288 0.719649 0.569209
723 0.674085 0.590795 0.869125 0.946441 0.707120 0.547454
809 0.655798 0.573304 0.852905 0.939773 0.696549 0.528361
905 0.637903 0.560549 0.832603 0.932188 0.686615 0.511145
1011 0.619621 0.551960 0.807738 0.923585 0.676403 0.494895
1130 0.602029 0.548610 0.776735 0.913595 0.666050 0.479204
1261 0.586203 0.550283 0.740524 0.902333 0.654785 0.462855
1407 0.569157 0.551423 0.700931 0.889396 0.640987 0.442441
1570 0.549138 0.548342 0.660240 0.874037 0.622653 0.415758
