n rho12 rho13 rho14 rho23 rho24 rho34
4 0.750144 0.324675 0.229233 0.244070 0.233515 0.452068
5 0.743560 0.331248 0.218816 0.244335 0.226609 0.523117
7 0.744050 0.344761 0.214463 0.251717 0.225188 0.638514
9 0.750651 0.358492 0.219463 0.265778 0.232622 0.719911
11 0.758190 0.372041 0.228474 0.283102 0.244670 0.775033
13 0.765348 0.386334 0.240533 0.303408 0.260366 0.811435
16 0.775066 0.411891 0.264332 0.340527 0.290648 0.845240
20 0.786915 0.456535 0.306260 0.401487 0.341928 0.871240
23 0.795843 0.494611 0.341437 0.450769 0.383852 0.883652
28 0.812101 0.550555 0.393745 0.522270 0.445269 0.897213
33 0.828214 0.588505 0.431440 0.570872 0.488091 0.905661
38 0.841889 0.615785 0.459960 0.604345 0.518506 0.911176
45 0.856579 0.642750 0.488942 0.636216 0.547929 0.915918
52 0.867197 0.657722 0.505650 0.654308 0.564303 0.918440
60 0.875746 0.667127 0.515579 0.665692 0.573504 0.919585
69 0.882319 0.672033 0.519356 0.671462 0.576313 0.919409
79 0.887318 0.674452 0.518733 0.673435 0.574246 0.917999
91 0.891311 0.675745 0.515014 0.672937 0.568347 0.915308
104 0.894155 0.676925 0.510284 0.671507 0.561069 0.911781
119 0.896406 0.679330 0.506270 0.670918 0.554367 0.907438
135 0.898148 0.683579 0.504636 0.672401 0.550228 0.902852
154 0.899432 0.689794 0.505087 0.675681 0.547716 0.897645
174 0.899803 0.696499 0.506633 0.679459 0.546033 0.892378
198 0.898999 0.704089 0.508872 0.683436 0.544089 0.886271
223 0.897128 0.710869 0.511054 0.686510 0.541578 0.880265
252 0.894119 0.716678 0.512475 0.688616 0.537496 0.873817
285 0.890280 0.719871 0.511082 0.688851 0.530134 0.867007
321 0.886360 0.719958 0.505967 0.686969 0.518819 0.859816
362 0.882833 0.718098 0.497879 0.683514 0.503536 0.851962
407 0.880243 0.715547 0.488644 0.679281 0.486204 0.843899
457 0.878776 0.713296 0.479730 0.674850 0.468544 0.835738
513 0.878301 0.711801 0.471668 0.670354 0.451317 0.827688
575 0.878542 0.712419 0.465812 0.666726 0.435668 0.819946
645 0.879428 0.717035 0.463029 0.665702 0.422168 0.811774
723 0.881342 0.725668 0.461362 0.667930 0.409552 0.802102
809 0.884393 0.737909 0.459200 0.673894 0.397439 0.789810
905 0.887873 0.752670 0.455143 0.682176 0.384029 0.774431
1011 0.891067 0.767469 0.448642 0.690479 0.368865 0.756661
1130 0.894131 0.780893 0.439202 0.698414 0.353218 0.736132
1261 0.897123 0.792112 0.427893 0.705420 0.339126 0.714439
1407 0.899649 0.799173 0.413017 0.709268 0.323792 0.693217
1570 0.900458 0.800463 0.394949 0.707636 0.307912 0.674152
