n rho12 rho13 rho14 rho23 rho24 rho34
4 0.209424 0.135734 0.850723 0.668911 0.397626 0.225389
5 0.192226 0.116795 0.862088 0.674956 0.389842 0.215355
7 0.173584 0.097122 0.879275 0.686755 0.383028 0.206968
9 0.165813 0.090663 0.890612 0.696213 0.380458 0.206059
11 0.165499 0.093215 0.897622 0.703217 0.379971 0.209439
13 0.172051 0.103903 0.901845 0.708676 0.381896 0.216995
16 0.193669 0.134060 0.905391 0.716113 0.390671 0.237432
20 0.238707 0.193865 0.908161 0.728095 0.415443 0.281971
23 0.274394 0.240915 0.909883 0.739394 0.439578 0.320910
28 0.319485 0.299348 0.913149 0.758618 0.473844 0.372944
33 0.353087 0.338460 0.917196 0.775634 0.499983 0.408305
38 0.380059 0.368210 0.921481 0.791141 0.521138 0.436065
45 0.405445 0.394201 0.927185 0.809390 0.541343 0.462246
52 0.422721 0.409005 0.932200 0.823788 0.554680 0.478192
60 0.434886 0.416872 0.936789 0.836331 0.563825 0.488232
69 0.443784 0.419683 0.940636 0.846735 0.570459 0.493742
79 0.450457 0.419322 0.943587 0.855228 0.575630 0.496362
91 0.456745 0.417769 0.945771 0.862408 0.580993 0.498090
104 0.463010 0.416769 0.947018 0.867689 0.586814 0.500119
119 0.470170 0.417554 0.947501 0.871620 0.593900 0.503690
135 0.477539 0.420535 0.947158 0.874145 0.601761 0.508979
154 0.484903 0.425586 0.945835 0.875566 0.610479 0.516113
174 0.490556 0.431481 0.943657 0.875678 0.618229 0.523531
198 0.495079 0.438736 0.940259 0.874434 0.625738 0.531678
223 0.498278 0.446553 0.936062 0.871779 0.632113 0.539240
252 0.501090 0.455944 0.930616 0.867147 0.638323 0.546829
285 0.504394 0.467232 0.924026 0.860141 0.644716 0.554100
321 0.508312 0.479778 0.916620 0.850882 0.651014 0.560213
362 0.512098 0.493291 0.907873 0.839011 0.656649 0.564450
407 0.514728 0.506792 0.897525 0.825342 0.660835 0.566221
457 0.515418 0.519213 0.884812 0.810254 0.663154 0.564617
513 0.513660 0.528465 0.869353 0.794108 0.662961 0.557481
575 0.510459 0.533894 0.851933 0.777902 0.660510 0.544399
645 0.507441 0.537031 0.833682 0.762212 0.656364 0.526486
723 0.504991 0.538279 0.816223 0.747787 0.650436 0.504576
809 0.502342 0.536624 0.799893 0.734680 0.642408 0.478212
905 0.500838 0.532675 0.784924 0.723234 0.633012 0.447873
1011 0.501285 0.527868 0.771885 0.714555 0.623064 0.416236
1130 0.503891 0.524781 0.760969 0.709811 0.613611 0.387932
1261 0.508636 0.525875 0.753478 0.710204 0.606455 0.369554
1407 0.515852 0.533557 0.749984 0.715949 0.603873 0.366235
1570 0.525408 0.548101 0.750544 0.726722 0.607939 0.380817
1750 0.537114 0.568192 0.754453 0.741302 0.619326 0.411688
