n rho12 rho13 rho14 rho23 rho24 rho34
4 0.569669 0.483083 0.357619 0.151840 0.248748 0.715916
5 0.565341 0.474493 0.355050 0.124115 0.238818 0.731808
7 0.570509 0.467615 0.359334 0.101217 0.233140 0.763924
9 0.580549 0.465500 0.365566 0.099037 0.235822 0.789911
11 0.590091 0.464398 0.370558 0.105163 0.241496 0.809797
13 0.598455 0.464175 0.374568 0.116554 0.249126 0.825916
16 0.609464 0.466122 0.379852 0.141832 0.264636 0.845718
20 0.624183 0.473874 0.388272 0.189040 0.294235 0.867000
23 0.636926 0.483358 0.397042 0.231470 0.322553 0.880174
28 0.661674 0.501925 0.415284 0.302037 0.372736 0.897778
33 0.686636 0.517135 0.432888 0.356046 0.412453 0.911015
38 0.707950 0.529031 0.447976 0.394298 0.440507 0.920923
45 0.732394 0.543554 0.465567 0.435601 0.470942 0.930459
52 0.750897 0.552482 0.476622 0.462072 0.489856 0.936262
60 0.765687 0.557108 0.482150 0.478572 0.499990 0.939821
69 0.777005 0.557996 0.482104 0.487724 0.503389 0.941331
79 0.784947 0.555761 0.477492 0.490653 0.501015 0.941157
91 0.791042 0.551213 0.469045 0.489842 0.494642 0.939415
104 0.795447 0.545378 0.458615 0.486823 0.486309 0.936429
119 0.799172 0.539203 0.447592 0.483487 0.477749 0.932377
135 0.802721 0.535376 0.439864 0.482557 0.472391 0.928065
154 0.807272 0.535633 0.437402 0.485635 0.471738 0.923475
174 0.812422 0.540488 0.441180 0.492247 0.476001 0.919392
198 0.818652 0.550655 0.451686 0.502809 0.485366 0.915370
223 0.824803 0.564761 0.467571 0.515872 0.498535 0.911966
252 0.831122 0.583343 0.489399 0.532730 0.516434 0.908783
285 0.837029 0.604043 0.514084 0.552130 0.537158 0.905782
321 0.842076 0.623838 0.537277 0.571535 0.557197 0.902818
362 0.846409 0.642513 0.558055 0.590449 0.575123 0.899351
407 0.850046 0.660207 0.576476 0.608269 0.589946 0.895491
457 0.853161 0.677631 0.593040 0.625276 0.601700 0.891046
513 0.855622 0.694593 0.607080 0.641508 0.610437 0.885919
575 0.857228 0.711067 0.619317 0.657410 0.617843 0.880537
645 0.858239 0.727688 0.631389 0.673544 0.625635 0.874427
723 0.859536 0.743750 0.643284 0.689369 0.634522 0.867376
809 0.862135 0.758715 0.655297 0.705025 0.645553 0.859826
905 0.866366 0.773022 0.668170 0.721021 0.659341 0.852225
1011 0.872176 0.786440 0.681114 0.736669 0.674167 0.844973
1130 0.879118 0.799142 0.692744 0.751649 0.688701 0.837610
1261 0.886361 0.810045 0.701684 0.764269 0.701160 0.830530
1407 0.893451 0.818338 0.707750 0.773554 0.710404 0.822795
1570 0.899622 0.822880 0.710218 0.778316 0.715483 0.813002
