n rho12 rho13 rho14 rho23 rho24 rho34
4 0.324396 0.290376 0.561585 0.564865 0.514033 0.334895
5 0.321585 0.290178 0.549182 0.598075 0.520718 0.340830
7 0.333166 0.305353 0.550317 0.654245 0.539136 0.361290
9 0.359356 0.332667 0.573458 0.700414 0.562313 0.388530
11 0.389912 0.364142 0.605969 0.739229 0.584821 0.417411
13 0.418689 0.393440 0.638926 0.770355 0.603232 0.442849
16 0.454794 0.429047 0.680937 0.804354 0.623415 0.471326
20 0.493382 0.465064 0.723574 0.833733 0.642790 0.497882
23 0.517906 0.487005 0.748790 0.848778 0.654772 0.514137
28 0.551017 0.515755 0.780023 0.865956 0.671411 0.536966
33 0.576904 0.538063 0.801573 0.876558 0.685265 0.555719
38 0.597574 0.555775 0.816937 0.882680 0.697133 0.571123
45 0.620001 0.574471 0.831474 0.886234 0.710594 0.587489
52 0.636374 0.587349 0.840393 0.886310 0.720741 0.598818
60 0.649331 0.596801 0.846412 0.884400 0.728991 0.607342
69 0.659232 0.603745 0.850420 0.881611 0.735700 0.614330
79 0.666796 0.609208 0.853177 0.878675 0.741477 0.620965
91 0.673670 0.614665 0.855336 0.875439 0.747887 0.628955
104 0.679865 0.619617 0.856871 0.871978 0.754772 0.637356
119 0.685847 0.623685 0.857790 0.867844 0.762203 0.645504
135 0.691081 0.625980 0.857919 0.863208 0.769272 0.652031
154 0.695709 0.625753 0.857041 0.857301 0.776141 0.656608
174 0.699011 0.622475 0.855094 0.850651 0.781376 0.657728
198 0.701365 0.615266 0.851500 0.842213 0.785175 0.654817
223 0.702149 0.604562 0.846066 0.832915 0.786306 0.647442
252 0.701742 0.589862 0.838023 0.821605 0.784431 0.634739
285 0.700083 0.572672 0.827568 0.808124 0.778795 0.616906
321 0.696975 0.555257 0.815705 0.792677 0.769267 0.595146
362 0.691877 0.537506 0.802395 0.774367 0.755512 0.568987
407 0.685147 0.520645 0.787845 0.754017 0.739039 0.540756
457 0.676953 0.504111 0.771319 0.731819 0.720853 0.511082
513 0.667611 0.487380 0.753266 0.708613 0.701996 0.480596
575 0.657336 0.469997 0.735242 0.685874 0.684129 0.450629
645 0.646132 0.451355 0.717569 0.664444 0.667989 0.421292
723 0.634994 0.432305 0.701451 0.646049 0.654958 0.394654
809 0.625305 0.413940 0.687280 0.630823 0.645933 0.371872
905 0.617869 0.396266 0.674666 0.618122 0.640163 0.352532
1011 0.613135 0.379458 0.663785 0.608553 0.635518 0.336691
1130 0.610258 0.363340 0.653880 0.602723 0.629397 0.324794
1261 0.608302 0.349622 0.644849 0.601883 0.620714 0.318738
1407 0.606826 0.341797 0.636769 0.607495 0.609813 0.320954
1570 0.606402 0.342068 0.630370 0.617225 0.597999 0.331378
1750 0.607651 0.352152 0.628662 0.629636 0.590503 0.350691
