n rho12 rho13 rho14 rho23 rho24 rho34
4 0.754958 0.573314 0.417329 0.425292 0.423070 0.537469
5 0.759432 0.594267 0.446028 0.454356 0.453643 0.598674
7 0.779328 0.631284 0.498761 0.508450 0.509060 0.710450
9 0.802524 0.660030 0.540267 0.552540 0.553814 0.793979
11 0.822982 0.680359 0.568910 0.585431 0.585657 0.847428
13 0.839571 0.694723 0.588482 0.609866 0.607842 0.880677
16 0.858671 0.709491 0.608299 0.636115 0.630434 0.910095
20 0.877126 0.722345 0.625317 0.659422 0.649048 0.931095
23 0.887402 0.729142 0.634390 0.671681 0.657989 0.940508
28 0.900223 0.737462 0.645821 0.686218 0.667659 0.950508
33 0.909692 0.743347 0.654296 0.696085 0.673596 0.956697
38 0.916906 0.747448 0.660631 0.702861 0.677331 0.960800
45 0.924181 0.750866 0.666457 0.708803 0.680050 0.964441
52 0.928910 0.752166 0.669055 0.711713 0.680452 0.966459
60 0.931963 0.751650 0.668775 0.712249 0.678645 0.967470
69 0.933237 0.749333 0.665672 0.710455 0.674704 0.967584
79 0.932833 0.745640 0.660443 0.706762 0.669202 0.966940
91 0.930806 0.740695 0.653152 0.701165 0.662129 0.965472
104 0.927565 0.735309 0.644752 0.694534 0.654448 0.963292
119 0.923120 0.729411 0.634734 0.687133 0.646075 0.960249
135 0.917964 0.723463 0.623602 0.680285 0.637988 0.956609
154 0.911633 0.716835 0.609907 0.673901 0.629499 0.951988
174 0.904926 0.710427 0.595422 0.668905 0.621617 0.946963
198 0.896991 0.703156 0.578124 0.664452 0.613066 0.940863
223 0.889061 0.695953 0.560743 0.661339 0.605382 0.934544
252 0.880498 0.688464 0.542299 0.659875 0.598531 0.927280
285 0.871316 0.680900 0.523316 0.659981 0.592430 0.918975
321 0.861480 0.673808 0.504774 0.660930 0.586540 0.909850
362 0.850020 0.666987 0.485957 0.661635 0.579499 0.899381
407 0.836593 0.660663 0.467622 0.661031 0.570593 0.887811
457 0.820217 0.654876 0.449845 0.658881 0.559687 0.874967
513 0.800748 0.650232 0.434200 0.656216 0.548422 0.860869
575 0.778571 0.645933 0.421112 0.652868 0.537513 0.845919
645 0.752629 0.638548 0.407726 0.645956 0.525262 0.829375
723 0.723471 0.628633 0.395099 0.635682 0.513363 0.810236
809 0.692102 0.619211 0.384565 0.623622 0.503697 0.786310
905 0.659989 0.613217 0.376271 0.610954 0.496256 0.756376
1011 0.626995 0.610795 0.369347 0.598052 0.490573 0.721777
1130 0.590438 0.606520 0.359703 0.582352 0.485318 0.683856
1261 0.549006 0.596691 0.345611 0.562291 0.479661 0.646169
1407 0.501417 0.579220 0.326424 0.538428 0.473149 0.611036
1570 0.449112 0.558172 0.305730 0.513699 0.465135 0.576726
