n rho12 rho13 rho14 rho23 rho24 rho34
4 0.651168 0.675608 0.852363 0.858687 0.774451 0.704450
5 0.673845 0.696943 0.875794 0.872096 0.784914 0.723137
7 0.708337 0.726711 0.907353 0.898649 0.802163 0.753418
9 0.730552 0.745063 0.926211 0.919251 0.813716 0.774261
11 0.744397 0.756347 0.937784 0.933899 0.820872 0.787918
13 0.753321 0.763415 0.945299 0.944448 0.825447 0.797133
16 0.761461 0.769426 0.952587 0.955439 0.829621 0.806136
20 0.766195 0.772045 0.958529 0.964511 0.831909 0.812416
23 0.766406 0.771005 0.961441 0.968639 0.831592 0.813918
28 0.761808 0.764816 0.964535 0.972475 0.827694 0.811722
33 0.752281 0.754267 0.966157 0.973993 0.820083 0.804913
38 0.739327 0.740724 0.966828 0.974073 0.809536 0.794718
45 0.718809 0.719918 0.966832 0.972656 0.792232 0.777527
52 0.699688 0.700928 0.966319 0.970244 0.775425 0.760615
60 0.682787 0.684307 0.965561 0.967167 0.759861 0.744785
69 0.669707 0.671430 0.964603 0.963955 0.747392 0.731945
79 0.659345 0.661177 0.963253 0.960499 0.737511 0.721545
91 0.649575 0.651475 0.961176 0.955938 0.728189 0.711360
104 0.642099 0.643960 0.958575 0.950889 0.721019 0.703181
119 0.637158 0.638484 0.955295 0.945501 0.716251 0.697111
135 0.634705 0.634797 0.951499 0.940456 0.714009 0.693196
154 0.634314 0.632577 0.946685 0.935565 0.714165 0.691322
174 0.635910 0.632648 0.941464 0.931300 0.716530 0.692022
198 0.639580 0.635529 0.935252 0.926874 0.721399 0.695923
223 0.643818 0.639931 0.928891 0.922681 0.727430 0.701987
252 0.647945 0.645013 0.921650 0.918134 0.734098 0.709734
285 0.651018 0.649670 0.913585 0.913053 0.740120 0.717931
321 0.652228 0.652578 0.904977 0.907123 0.744198 0.724744
362 0.650119 0.651597 0.895254 0.899369 0.744755 0.727941
407 0.642904 0.644462 0.884442 0.889113 0.740023 0.725084
457 0.629029 0.629918 0.871631 0.875184 0.729753 0.715417
513 0.609269 0.609404 0.856626 0.857258 0.715408 0.700045
575 0.587044 0.587032 0.840834 0.836291 0.698568 0.680559
645 0.566882 0.567177 0.825773 0.813245 0.681645 0.659028
723 0.551383 0.553519 0.812288 0.790742 0.667562 0.638703
809 0.539326 0.545283 0.799017 0.770098 0.656545 0.619867
905 0.527624 0.538341 0.783960 0.750112 0.646866 0.599602
1011 0.515838 0.531522 0.766706 0.730940 0.637615 0.576962
1130 0.503184 0.523527 0.745732 0.714611 0.627906 0.551829
1261 0.489225 0.513124 0.720347 0.703857 0.617641 0.525331
1407 0.472006 0.499337 0.690555 0.697090 0.605160 0.497328
1570 0.452880 0.483964 0.657661 0.693325 0.591772 0.470040
