n rho12 rho13 rho14 rho23 rho24 rho34
4 0.326394 0.359865 0.498386 0.792115 0.660451 0.527777
5 0.360204 0.390102 0.542743 0.796441 0.679746 0.554441
7 0.433651 0.457462 0.634180 0.812702 0.716207 0.606626
9 0.500140 0.520680 0.712874 0.833564 0.745312 0.651654
11 0.552578 0.572554 0.771098 0.854485 0.767167 0.688507
13 0.591397 0.612613 0.810810 0.873479 0.783154 0.718193
16 0.631016 0.654959 0.847893 0.897784 0.799522 0.751817
20 0.665278 0.690156 0.875394 0.923331 0.814280 0.781915
23 0.683385 0.706801 0.887587 0.937562 0.822358 0.796490
28 0.704674 0.724796 0.899760 0.953687 0.832210 0.811999
33 0.718652 0.736070 0.906335 0.963846 0.839192 0.821703
38 0.728293 0.743227 0.909929 0.970646 0.844457 0.828070
45 0.737555 0.749146 0.912215 0.976772 0.850075 0.833702
52 0.743458 0.752324 0.912630 0.980531 0.854185 0.837250
60 0.747275 0.753922 0.911748 0.983253 0.857507 0.839911
69 0.749112 0.754187 0.909708 0.985164 0.860153 0.841964
79 0.749287 0.753324 0.906693 0.986505 0.862333 0.843624
91 0.747791 0.751182 0.902422 0.987515 0.864287 0.845082
104 0.744414 0.747673 0.897189 0.988184 0.865691 0.846139
119 0.738459 0.742157 0.890450 0.988630 0.866485 0.846777
135 0.730508 0.735151 0.882575 0.988887 0.866755 0.847063
154 0.720565 0.726595 0.873017 0.989044 0.866908 0.847308
174 0.710948 0.718597 0.863539 0.989142 0.867330 0.847971
198 0.701606 0.711243 0.853574 0.989215 0.868416 0.849546
223 0.694140 0.705701 0.844708 0.989216 0.869958 0.851665
252 0.686832 0.700208 0.835582 0.989067 0.871569 0.853761
285 0.678809 0.693707 0.825757 0.988681 0.872695 0.855093
321 0.670250 0.686370 0.815274 0.988055 0.873298 0.855626
362 0.660950 0.678230 0.803611 0.987154 0.873333 0.855463
407 0.650377 0.668893 0.790905 0.986026 0.872478 0.854533
457 0.638309 0.657942 0.777001 0.984755 0.871164 0.853398
513 0.625446 0.645755 0.761952 0.983419 0.870002 0.852689
575 0.612105 0.632688 0.746035 0.982077 0.869280 0.852727
645 0.596969 0.617680 0.728661 0.980642 0.868348 0.852857
723 0.580589 0.601324 0.710417 0.979053 0.866903 0.852631
809 0.564004 0.584346 0.692706 0.977292 0.865119 0.851885
905 0.547808 0.567040 0.676475 0.975401 0.863355 0.850588
1011 0.531835 0.549203 0.661800 0.973523 0.861758 0.848600
1130 0.514127 0.529109 0.646999 0.971663 0.860118 0.845391
1261 0.494049 0.506494 0.630808 0.969922 0.858045 0.840318
1407 0.469588 0.479312 0.611170 0.968320 0.854492 0.832440
1570 0.441650 0.448176 0.589549 0.966962 0.849490 0.822350
