n rho12 rho13 rho14 rho23 rho24 rho34
4 0.026789 0.411674 0.241064 0.143463 0.124072 0.687683
5 0.049039 0.432853 0.257137 0.151902 0.137184 0.680406
7 0.121165 0.471496 0.288928 0.177658 0.173762 0.674409
9 0.216090 0.507397 0.321411 0.209461 0.215195 0.674796
11 0.315576 0.537338 0.352915 0.241518 0.256369 0.679123
13 0.407142 0.560394 0.383532 0.272293 0.295875 0.686903
16 0.521836 0.587890 0.430781 0.315778 0.352201 0.704431
20 0.630828 0.620098 0.493918 0.367962 0.420424 0.734621
23 0.686228 0.640720 0.534419 0.400488 0.462596 0.756893
28 0.745697 0.665515 0.581755 0.440022 0.511648 0.785764
33 0.781627 0.681129 0.611043 0.467050 0.541783 0.805959
38 0.804558 0.692124 0.631541 0.487715 0.562722 0.822163
45 0.823937 0.702032 0.650269 0.508538 0.582207 0.839727
52 0.834563 0.707197 0.661008 0.522052 0.593847 0.852773
60 0.840311 0.710312 0.668302 0.532077 0.601962 0.864432
69 0.841599 0.712694 0.673680 0.539402 0.607844 0.874519
79 0.838618 0.715369 0.678159 0.544556 0.612088 0.882932
91 0.830941 0.719037 0.682426 0.547867 0.614924 0.890052
104 0.819423 0.723393 0.685981 0.548813 0.615626 0.895154
119 0.803458 0.727906 0.688406 0.546409 0.613319 0.898520
135 0.784414 0.731070 0.688425 0.539577 0.607052 0.899603
154 0.759966 0.732049 0.684524 0.526144 0.594830 0.897883
174 0.732676 0.730385 0.676672 0.507328 0.577837 0.893390
198 0.699563 0.726791 0.664850 0.482789 0.555716 0.886151
223 0.666766 0.723017 0.652437 0.459287 0.534634 0.878281
252 0.632369 0.719894 0.639975 0.437360 0.515322 0.870108
285 0.598089 0.717985 0.628738 0.418501 0.499452 0.862174
321 0.564962 0.716483 0.618246 0.401802 0.486119 0.854318
362 0.531166 0.714060 0.606670 0.385693 0.473647 0.846287
407 0.499422 0.710564 0.594771 0.372728 0.463920 0.839546
457 0.470811 0.706064 0.583083 0.363796 0.457240 0.834891
513 0.445421 0.701087 0.572437 0.359035 0.453054 0.832931
575 0.423087 0.697388 0.564943 0.358948 0.452033 0.834544
645 0.402509 0.696766 0.562298 0.363045 0.453972 0.840083
723 0.384695 0.701177 0.565802 0.371026 0.458388 0.849313
809 0.371259 0.710620 0.574409 0.380267 0.462478 0.861073
905 0.360781 0.723281 0.586437 0.387193 0.463088 0.874398
1011 0.351116 0.737669 0.600971 0.390387 0.459903 0.887771
1130 0.340891 0.753253 0.617048 0.390842 0.454001 0.900184
1261 0.334587 0.769250 0.633988 0.390927 0.446730 0.910816
1407 0.334094 0.784685 0.651907 0.390701 0.438400 0.919898
1570 0.334164 0.799622 0.671273 0.386639 0.427789 0.927180
