n rho12 rho13 rho14 rho23 rho24 rho34
4 0.478634 0.340115 0.749817 0.606210 0.632212 0.376040
5 0.485127 0.369849 0.751216 0.650426 0.634475 0.406064
7 0.499221 0.417319 0.759728 0.718740 0.636133 0.449107
9 0.510726 0.449272 0.767755 0.766925 0.634647 0.474459
11 0.520393 0.469796 0.772987 0.800449 0.632762 0.489129
13 0.529905 0.483759 0.775734 0.823541 0.632309 0.498704
16 0.544300 0.499257 0.776603 0.846230 0.633960 0.509459
20 0.560025 0.513001 0.774253 0.864823 0.637009 0.520522
23 0.566982 0.517938 0.770707 0.873983 0.638044 0.526399
28 0.571623 0.519100 0.763456 0.884223 0.637735 0.533190
33 0.572069 0.515753 0.756383 0.890676 0.636570 0.538047
38 0.570478 0.510193 0.749918 0.894634 0.634851 0.541200
45 0.566205 0.500557 0.741237 0.897350 0.631218 0.542953
52 0.560922 0.490480 0.732214 0.897902 0.626437 0.542607
60 0.554784 0.479486 0.721146 0.896699 0.620081 0.540518
69 0.548688 0.468451 0.707973 0.893572 0.612628 0.536982
79 0.543620 0.458330 0.693392 0.888481 0.604954 0.532610
91 0.540633 0.449798 0.677932 0.881088 0.597563 0.527867
104 0.541248 0.445219 0.665760 0.872574 0.591870 0.523786
119 0.545669 0.445385 0.658913 0.862906 0.587296 0.520127
135 0.553447 0.451129 0.659790 0.853019 0.583722 0.516975
154 0.565840 0.463849 0.669349 0.841780 0.581319 0.514653
174 0.580840 0.480833 0.684935 0.830015 0.580815 0.514132
198 0.598020 0.500858 0.704599 0.814692 0.581306 0.515346
223 0.612702 0.517958 0.721714 0.797540 0.582666 0.519427
252 0.625614 0.532885 0.736824 0.776122 0.585162 0.527624
285 0.638598 0.549007 0.751844 0.750824 0.588981 0.540958
321 0.652477 0.568225 0.767823 0.723640 0.593561 0.559033
362 0.665634 0.588498 0.783501 0.693695 0.597637 0.580416
407 0.676125 0.607697 0.797484 0.661807 0.599609 0.601642
457 0.683404 0.625791 0.810234 0.626730 0.598841 0.620353
513 0.685509 0.640813 0.820726 0.587343 0.595025 0.635389
575 0.682293 0.652206 0.828370 0.544131 0.588143 0.646883
645 0.674599 0.660156 0.832904 0.498024 0.578694 0.655699
723 0.663947 0.665439 0.834366 0.452810 0.567848 0.662466
809 0.651023 0.668636 0.832816 0.411513 0.556181 0.669072
905 0.635786 0.670411 0.828171 0.374594 0.542510 0.676962
1011 0.618111 0.670530 0.820158 0.341151 0.525491 0.683825
1130 0.596932 0.668865 0.808307 0.309663 0.504700 0.689228
1261 0.566975 0.665355 0.791663 0.276585 0.476192 0.692447
1407 0.529859 0.662036 0.771462 0.245550 0.443910 0.694278
1570 0.487638 0.654861 0.746449 0.210961 0.408146 0.692472
1750 0.442216 0.651559 0.719959 0.184458 0.374506 0.692214
